time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,prbs_segment
188.53125,7.0,7.235553613704918,6.99367740702709,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.5416667,7.0,7.23557725595153,6.9936939577943535,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.5520833,7.0,7.235553632058127,6.9937095095863295,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.5625,7.0,7.235577240510464,6.993724178895479,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.5729167,7.0,7.235553613698282,6.993737887952419,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.5833333,7.0,7.235577242790911,6.993750748299996,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.59375,7.0,7.235553613711661,6.99376266873231,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.6041667,7.0,7.235577255958153,6.993773762980477,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.6145833,7.0,7.2355536320648435,6.993783946336263,0.0,0.0,0.5213111741443391,5.890816267831033,328.15,308.15,2720.0,680.0,
188.625,7.0,7.2355772405172045,6.993793321515521,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6354167,7.0,7.235553613705017,6.993814817686887,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6458333,7.0,7.235577242797686,6.993833754879683,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.65625,7.0,7.235553613718403,6.993851354943522,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6666667,7.0,7.235577255964942,6.993868024284711,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6770833,7.0,7.235553632071555,6.993883739360793,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6875,7.0,7.235577240523972,6.993898616607771,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.6979167,7.0,7.235553613711721,6.993912577185476,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.7083333,7.0,7.235577242804364,6.993925732368526,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.71875,7.0,7.23555361372507,6.993937989965893,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.7291667,7.0,7.235577255971509,6.993949463073652,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.7395833,7.0,7.235553632078175,6.993960066245502,0.0,0.0,0.5193503338454829,5.868658772453957,328.15,308.15,2720.0,680.0,
188.75,7.0,7.235577240530633,6.9939699018510595,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.7604167,7.0,7.23555361371834,6.993990961033064,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.7708333,7.0,7.235577242810995,6.994009683740334,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.78125,7.0,7.235553613731739,6.9940271188803855,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.7916667,7.0,7.235577255978227,6.994043660189519,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8020833,7.0,7.235553632084808,6.994059287978783,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8125,7.0,7.235577240537283,6.994074120758692,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8229167,7.0,7.235553613725027,6.99408807929401,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8333333,7.0,7.235577242817518,6.994101275007489,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.84375,7.0,7.235553613738294,6.994113615023975,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8541667,7.0,7.2355772559847695,6.994125211788203,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.8645833,7.0,7.235553632091404,6.994135979352246,0.0,0.0,0.5175357772842732,5.848154283312288,328.15,308.15,2720.0,680.0,
188.875,7.0,7.2355772405437575,6.994146019914809,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.8854167,7.0,7.23555361373152,6.994166614024275,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.8958333,7.0,7.235577242824156,6.994185084488225,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.90625,7.0,7.23555361374484,6.99420230689235,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9166667,7.0,7.235577255991346,6.994218663103742,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9270833,7.0,7.235553632097932,6.99423414126694,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9375,7.0,7.23557724055037,6.99424886477153,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9479167,7.0,7.235553613738049,6.994262754992099,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9583333,7.0,7.2355772428306855,6.9942759241792976,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.96875,7.0,7.2355536137513585,6.994288279317753,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9791667,7.0,7.2355772559978755,6.99429993200615,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
188.9895833,7.0,7.235553632104458,6.994310796116108,0.0,0.0,0.5158323859821506,5.828905961598303,328.15,308.15,2720.0,680.0,
189.0,7.0,7.235577240556857,6.994320974067233,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0104167,7.0,7.235553613744529,6.994341093680339,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0208333,7.0,7.235577242837188,6.994359347073206,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.03125,7.0,7.235553613757911,6.99437639673614,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0416667,7.0,7.235577256004246,6.994392597762083,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0520833,7.0,7.2355536321109115,6.994407948150908,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0625,7.0,7.23557724056337,6.994422581679699,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0729167,7.0,7.235553613751012,6.994436423304629,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.0833333,7.0,7.23557724284366,6.994449588697597,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.09375,7.0,7.235553613764293,6.994461987293733,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.1041667,7.0,7.235577256010748,6.994473730103123,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
189.1145833,7.0,7.235553632117315,6.994484732381588,0.0,0.0,0.5142306945523824,5.8108068484419215,328.15,308.15,2720.0,680.0,
