prbs_segment,start_d,end_d,duration_d,pH_sp,stage2_pH_start,stage2_pH_end,stage2_pH_min,stage2_pH_max,MAE_pH,RMSE_pH,final_abs_error_pH,q_NaOH_max_m3_d,q_HCl_max_m3_d
37,69.63328761086689,70.2789785920852,0.6456909812183085,8.4,6.994472538678123,8.395146543410158,6.994472538678123,8.492505486552142,0.38791567931058735,0.686073755821901,0.004853456589842153,8.026631756354341,0.8614304593000982
38,70.2789785920852,72.57580043289028,2.2968218408050802,7.0,8.394941945634763,6.995733515301727,6.878117529956875,8.394941945634763,0.10279212803764487,0.34462886607220206,0.004266484698272954,0.4214721080515776,17.91964324538202
39,72.57580043289028,74.21269206480763,1.6368916319173508,8.4,6.995773909815506,8.396008213891037,6.995773909815506,8.502868373180641,0.09378785723779236,0.3111268502236419,0.00399178610896378,8.034372874019192,0.964149601665378
40,74.21269206480763,76.74978567778085,2.537093612973223,7.0,8.396028028029429,6.996226673336525,6.887916687581588,8.396087697056885,0.0610077127292275,0.24597813975886715,0.003773326663474741,0.3831119601165658,17.91210328909429
41,76.74978567778085,77.79058955002198,1.0408038722411277,8.4,6.99621105072562,8.395098039335826,6.99621105072562,8.502617093032537,0.08856526183338395,0.2703553540634637,0.004901960664174254,8.034285864266328,0.9565776561109922
42,77.79058955002198,80.77020506413098,2.9796155141089997,7.0,8.395120381117064,6.996981997026682,6.879105061144168,8.3953019924217,0.07579563562985825,0.2919987052925149,0.0030180029733175573,0.4313396840907073,17.910689408673054
43,80.77020506413098,81.34282716792399,0.5726221037930088,8.4,6.99694594406051,8.40210758036393,6.99694594406051,8.50595495807106,0.41199840639824525,0.6998832415662194,0.002107580363929884,8.036698124922337,0.9840432174706356
44,81.34282716792399,83.98606973807371,2.6432425701497237,7.0,8.40131571738362,6.997578334994056,6.862317065518825,8.40131571738362,0.05622321513293832,0.2408258591734217,0.0024216650059436517,0.5278278634720774,17.961559772009004
45,83.98606973807371,84.71423961161781,0.728169873544104,8.4,6.99758619437751,8.396275082056563,6.99758619437751,8.508583015341781,0.14432605602807635,0.3622562584729252,0.0037249179434368784,8.03868903825138,1.0075689643823236
46,84.71423961161781,85.87103686590737,1.1567972542895575,7.0,8.396224988633534,6.995936681011884,6.865450249406725,8.396224988633534,0.12491239640410025,0.3632795532122174,0.0040633189881162934,0.514639418995384,17.914239023457274
47,85.87103686590737,86.92814096687025,1.0571041009628743,8.4,6.995970871099903,8.395038547446887,6.995970871099903,8.505003471799283,0.08698252505065208,0.2671616366895753,0.004961452553112977,8.036002361314418,0.9869054073935628
48,86.92814096687025,87.73329946098345,0.8051584941132006,7.0,8.395061439004587,6.99447453810688,6.87603218184387,8.395200354368514,0.23382543508592527,0.5157190413309496,0.005525461893119754,0.4489204310300017,17.91064531096204
49,87.73329946098345,90.63787746678156,2.9045780057981148,8.4,6.994424703588314,8.39722782373012,6.994374669491495,8.498349566202144,0.03977526010924898,0.18316345870878992,0.0027721762698806884,8.030198463615264,0.9326677606748096
50,90.63787746678156,91.20620320851144,0.568325741729879,7.0,8.397240584281784,7.018657244188021,6.9099063901306,8.39736773556737,0.44540120753738216,0.7261891382302817,0.01865724418802106,0.2595887632363772,17.914209854359182
51,91.20620320851144,93.15775625488423,1.9515530463727941,8.4,7.016384595669524,8.394643225284076,7.006972030908064,8.480132316308003,0.07975130524734643,0.2837656246195442,0.005356774715924217,7.938815882165034,1.007975835298348
52,93.15775625488423,94.55278446615652,1.3950282112722903,7.0,8.39466808139988,6.993326359135211,6.911705772723738,8.394866336205657,0.1602213884899554,0.42712335711203936,0.006673640864788943,0.2357181730565581,17.91254258987847
53,94.55278446615652,95.55815519811291,1.0053707319563898,8.4,6.99334052854444,8.392236325921804,6.99334052854444,8.486928712050565,0.18054069639981551,0.4496955618581395,0.0077636740781965585,8.022419713320257,0.8128309245786859
54,95.55815519811291,96.73879138708686,1.1806361889739492,7.0,8.392269485311791,6.993276467144226,6.890113783112188,8.392469846258356,0.16056555083920623,0.42482712504422016,0.006723532855773762,0.3510090745620327,17.9096255400948
55,96.73879138708686,99.4135193386922,2.674727951605334,8.4,6.993290296219438,8.396523523514587,6.993290296219438,8.492608439959435,0.04344228855956596,0.19176763177341224,0.0034764764854138264,8.027013942406382,0.8780461404628411
56,99.4135193386922,102.22413036883144,2.810611030139242,7.0,8.396539597584072,6.995494711955091,6.910137447864631,8.396667670908633,0.08300414458781134,0.3014986590886708,0.004505288044908795,0.2544810060832806,17.913820815495
57,102.22413036883144,102.79620275529123,0.5720723864597943,8.4,6.995471642437217,8.395991800258198,6.995471642437217,8.498294658256166,0.20766008271808223,0.4535968480928393,0.004008199741802443,8.03106729200846,0.9160156546961474
58,102.79620275529123,105.20152991820213,2.4053271629108934,7.0,8.395769420681427,6.9963935883150805,6.872348399271847,8.395769420681427,0.08623106143288224,0.31136763231911957,0.003606411684919486,0.4609968927122523,17.921335172940587
59,105.20152991820213,106.73221826329308,1.530688345090951,8.4,6.9964382361517625,8.396252507725354,6.9964111834319,8.50516716110624,0.09960437506129913,0.32108183721763844,0.0037474922746465467,8.036259209332522,0.9822798760768648
60,106.73221826329308,107.2809162715536,0.5486980082605157,7.0,8.396271701013475,6.999554268953231,6.884137803428479,8.396290969284042,0.21340978578415934,0.4556583347685689,0.00044573104676892683,0.4066334081207408,17.911909246995275
61,107.2809162715536,107.96063984474142,0.6797235731878288,8.4,6.999159210679912,8.393596520921594,6.995408786133123,8.494308201435837,0.32177160810368993,0.616929319259239,0.006403479078405994,8.020464942255813,0.8886377076772883
62,107.96063984474142,110.38298580118744,2.422345956446023,7.0,8.39341173305163,6.995905706342309,6.875131364979862,8.39341173305163,0.0623071635157725,0.25057165774476087,0.004094293657691317,0.4369749667018716,17.920060578947073
63,110.38298580118744,111.62803577253128,1.2450499713438319,8.4,6.995903454612543,8.395255992509542,6.995903454612543,8.504330778981704,0.20289876763047182,0.49137078500450937,0.004744007490458557,8.035643057431102,0.977877112214596
64,111.62803577253128,113.3227731163029,1.6947373437716209,7.0,8.395278161432975,6.995358417999557,6.879575688093454,8.395526650589213,0.15707291806377413,0.4320290798170406,0.004641582000442845,0.4296553035073847,17.911056150532804
65,113.3227731163029,115.89127168060428,2.568498564301379,8.4,6.995393069225324,8.397247384297557,6.995390307433711,8.501375383740733,0.06664271930163036,0.2638790480278484,0.0027526157024428954,8.033441653545374,0.9514565602642782
66,115.89127168060428,116.39152913393944,0.5002574533351662,7.0,8.397260186101393,7.027073360977711,6.904160511088681,8.397388205708138,0.4969047289877045,0.7699600891975962,0.027073360977711403,0.2937429859539022,17.913902545549675
67,116.39152913393944,117.07361516983488,0.6820860358954377,8.4,7.025542515085804,8.392369523864392,7.005379326863963,8.483442090187456,0.33875424149185973,0.6341931001649312,0.0076304761356080775,7.952099590457268,0.9554731242342264
68,117.07361516983488,118.60858664461932,1.5349714747844416,7.0,8.392205517272512,6.993821167940002,6.888761172437111,8.392205517272512,0.10507272364962031,0.33489387842074064,0.0061788320599980295,0.3505790459876472,17.917736109516994
69,118.60858664461932,120.41175308919476,1.8031664445754387,8.4,6.993835282239687,8.395171884153779,6.993835282239687,8.49486420031929,0.06217276277852538,0.2332563428599943,0.004828115846221337,8.028689499807129,0.897027397310083
70,120.41175308919476,122.65911533704735,2.2473622478525925,7.0,8.39519454498912,6.9951286008613325,6.897277651689869,8.395375768062172,0.10112207111526723,0.33635432652024794,0.00487139913866752,0.3237692042656258,17.91238263697413
71,122.65911533704735,125.2951879301992,2.6360725931518516,8.4,6.9951489719547,8.39715418267075,6.9951489719547,8.498657567715107,0.08189726691293116,0.3025593433512411,0.0028458173292502664,8.031222134273575,0.923357884670935
72,125.2951879301992,128.08194332371724,2.7867553935180354,7.0,8.397167540950413,6.995805744178376,6.905916672502201,8.397261221379374,0.07829895095610166,0.29097821943753494,0.00419425582162436,0.2826809521948407,17.91387946851032
73,128.08194332371724,130.60259116627105,2.5206478425538137,8.4,6.995828663633539,8.397309905112555,6.995828663633539,8.499491730743072,0.06203050120056967,0.2509677437868119,0.0026900948874448716,8.031992603261672,0.9252456638843758
74,130.60259116627105,133.18305322924678,2.5804620629757267,7.0,8.397322988691975,6.995787952308475,6.904220164243227,8.397349130564248,0.055668709167624925,0.2275557349206638,0.004212047691525278,0.2932234204675144,17.913789251454055
75,133.18305322924678,135.7808635381775,2.5978103089307183,8.4,6.995815250517829,8.39736949806212,6.995815250517829,8.499312409147132,0.07162123688020731,0.2775941280868496,0.0026305019378796146,8.031545458716753,0.9232411745266486
76,135.7808635381775,138.0333011827567,2.252437644579203,7.0,8.39738178181094,6.9952985849204286,6.9059394431367895,8.397492705005066,0.10810910415075922,0.3495945820948314,0.004701415079571447,0.2838082922922881,17.91395606466597
77,138.0333011827567,138.64070875914678,0.6074075763900737,8.4,6.995311946767904,8.396433420151018,6.995311946767904,8.49680744049613,0.34197902058581464,0.6321237321095637,0.003566579848982343,8.02993084745719,0.9004784093875636
78,138.64070875914678,140.80043479062974,2.159726031482961,7.0,8.396213686387295,6.9959740381389,6.874059077955566,8.396213686387295,0.11600204760731418,0.36933255603305437,0.004025961861099603,0.4500619888807671,17.920935125122192
79,140.80043479062974,142.1815416111943,1.381106820564554,8.4,6.9960152649077685,8.395641760733461,6.995969437883957,8.503930176956022,0.14140984597960624,0.3982280277779999,0.004358239266538888,8.035521030430871,0.972931136463049
80,142.1815416111943,143.60934501085745,1.427803399663162,7.0,8.395663226595094,6.994998000648981,6.88257505595144,8.395792886028628,0.13450017618984464,0.3870180447650515,0.00500199935101886,0.4132665169398137,17.911461979440283
