episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
24,56,1400,5.744466543197632,172.96655106544495,81.62537793699816,8162.537793699816,9936.29023064312,21.195600000000002,1752.5568369433054,4828.069760292286,4799.406907804242,3088.1356254659213,706.52,3.50511367388661,5.392055933371505,6.292091881276323,6.689462265758371,6.716266999362247
25,56,1456,5.799790143966675,179.3380410671234,88.51088173616576,8851.088173616576,10613.002119090248,19.094549999999998,1742.8193954736732,5164.3812479393255,5139.363472702355,3092.5739844856867,636.485,3.4856387909473465,5.273948033669313,7.399523854478531,6.674610530346506,6.854143820449127
26,56,1512,6.392962694168091,186.49315285682678,93.13237301689176,9313.237301689176,10688.692800473438,29.555099999999996,1345.900398784262,5205.507549549817,5179.023600126762,3041.6165079685898,985.17,2.6918007975685243,5.0451316817517124,8.284149432211862,6.3727142931167675,6.862283842409909
27,56,1568,5.500722885131836,192.76480102539062,82.13039140984364,8213.039140984365,10563.214508772324,11.5674,2338.607967787959,5216.00961205784,5098.523240845256,2486.816558692275,385.58,4.6772159355759175,5.164776013674494,8.563568719599898,6.553653506238358,7.702429380074236
28,56,1624,6.728759288787842,200.5301365852356,89.10792055407009,8910.792055407008,10662.529791061757,27.08107499999999,1724.656660654749,5215.231702839001,5149.704330701985,2975.937575207725,902.7025,3.449313321309498,5.106211494429126,7.632883158902282,6.475026420309187,7.3333215634290285
29,56,1680,6.010833501815796,207.36066198349,96.51438260785126,9651.438260785126,10890.926540430544,11.835299999999998,1227.6529796454186,5295.102241845435,5270.920251559656,3249.040470254538,394.51,2.455305959290837,5.0799704008284,7.277769690323037,6.434141407012198,7.025289311972036
30,56,1736,6.107882499694824,214.34307146072388,87.97125777468315,8797.125777468314,10550.819109861992,15.499049999999999,1738.194282393677,5141.212658909555,5101.435776969694,3081.7067398274144,516.635,3.476388564787354,5.225146094257734,7.438372087892841,6.590008008491425,7.115608368751336
31,56,1792,6.290831089019775,221.58180952072144,95.96830918114375,9596.830918114376,10891.851770881982,13.733774999999998,1281.2870777676053,5291.855200020319,5269.544311710659,3304.522591510046,457.7924999999999,2.5625741555352106,5.012816729342884,6.910532948990923,6.436543560112426,6.922157440642613
32,56,1848,6.930638313293457,229.44734454154968,89.46490929681741,8946.490929681742,10199.456757990549,13.879649999999998,1239.0861783088094,4951.2631692119485,4930.155760828855,3180.3782794974595,462.655,2.478172356617619,5.123830716805893,6.9298601337719905,6.508663056663258,6.851547057377345
33,56,1904,5.835573196411133,236.24412560462952,93.42118964290418,9342.118964290417,10688.903034963254,13.96905,1332.8150206728358,5191.355385840599,5169.556995737694,3279.906533849624,465.635,2.665630041345672,5.151269061107786,6.947012345575662,6.5534299756571475,6.863156240168822
34,56,1960,5.868402004241943,242.94450759887695,88.99214692828357,8899.214692828358,10712.918818824175,10.591574999999999,1803.1125509958188,5206.875606454989,5172.836023417199,3332.071889519876,353.05249999999995,3.6062251019916376,5.087277578495619,6.568368281523017,6.485405768624813,6.584471865053492
35,56,2016,5.716562271118164,249.45922684669495,83.10494617531445,8310.494617531445,10432.59734852834,16.525199999999998,2105.577530996894,5078.189247096978,5030.493743448593,3239.143579827688,550.84,4.2111550619937885,5.304047290860591,6.490104335199653,6.600352820128216,6.578368691282458
