decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,episode_start_d,episode_start_index,influent_csv,use_dynamic_flow,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,q_ad_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in,policy,window_id,window_start_d
25,1.5532835362314237,0.0,58.10234889236468,58.10234889236468,345.22352949624104,58.10234889236468,0.1635729477377424,57.93877594462693,138.6508356727156,36.064967863420264,174.71580353613587,0.012499999999999999,0.3125,0.03864989982598703,0.0,0.03864989982598703,174.71580353613587,0.0625,19.324949912993514,155.32835362314236,3.25,3.25,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.71759294257817,6.944867679929724,3.743746500735706,0.00971103170708974,0.1,0.0,0.0,0.0,111.726630213507,1089.1136271106157,252.63028942433218,0.16830355965929988,0.9971847446642688,0.6207144556277934,dqn1000_deterministic,0,0.0
26,1.4692077481304273,0.0,75.68028004382397,75.68028004382397,376.35841767285126,75.68028004382397,0.21108550139323976,75.46919454243074,134.0177577274208,33.610936982097364,167.62869470951816,0.012499999999999999,0.3125,0.04129083979295087,0.0,0.04129083979295087,167.62869470951816,0.0625,20.645419896475435,146.92077481304273,3.375,3.375,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.73863549912653,6.955239617202123,3.7253124546007124,0.011912447005845652,0.1,0.0,0.0,0.0,227.336892478102,1068.6391333077445,275.0815099299452,0.20108565795281053,0.9972108255774028,0.4441175027713213,dqn1000_deterministic,0,0.0
27,1.6200955459748534,0.0,108.67879761543662,108.67879761543662,959.4338849048382,108.67879761543662,0.40153866504279817,108.27725895039384,138.50913178701242,44.255029711938036,182.76416149895044,0.012499999999999999,0.3125,0.041384213802930225,0.0,0.041384213802930225,182.76416149895044,0.0625,20.692106901465113,162.00955459748533,3.5,3.5,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.716029544339814,6.968749114404953,3.8274173659103727,0.01416896544898908,0.1,0.0,0.0,0.0,186.093895258918,1146.619417819612,364.23637840937437,0.11327387882096322,0.9963052713698247,0.40720941603104466,dqn1000_deterministic,0,0.0
28,1.7115661724888835,0.0,77.77391538964108,77.77391538964108,811.3531302146071,77.77391538964108,0.2583876564240643,77.51552773321703,144.98775320228836,44.35695401449291,189.34470721678125,0.012499999999999999,0.3125,0.0362511799357858,0.0,0.0362511799357858,189.34470721678125,0.0625,18.1255899678929,171.15661724888835,3.625,3.625,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.668383608776752,6.981534597774454,3.9997907702735604,0.012098483371309511,0.1,0.0,0.0,0.0,147.967171130853,1157.9044016073126,315.43862545720845,0.09585704731190163,0.9966777080062185,0.5703320167471078,dqn1000_deterministic,0,0.0
29,1.6785349399004326,0.0,83.31229317219712,83.31229317219712,760.8198045635586,83.31229317219712,0.2519668948252501,83.06032627737187,142.6485401827145,40.62129097168036,183.2698311543948,0.012499999999999999,0.3125,0.030707674328703066,0.0,0.030707674328703066,183.2698311543948,0.0625,15.353837164351532,167.85349399004326,3.75,3.75,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.626469352766021,6.992358489350558,4.124427752606109,0.01308017532578469,0.1,0.0,0.0,0.0,193.028983476368,1126.8504625243545,320.507023143841,0.109503318226566,0.9969756336642366,0.4875785964469941,dqn1000_deterministic,0,0.0
30,1.8771296621511482,0.0,109.83638579644813,109.83638579644813,864.5826197458758,109.83638579644813,0.3838725896420503,109.45251320680607,140.52032585400562,62.19327832057171,202.7136041745773,0.6625,8.0,0.026801275918925026,0.0,0.026801275918925026,202.7136041745773,1.6,13.400637959462513,187.71296621511482,3.875,3.875,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.600917260162527,6.959943905318359,4.272761534163298,0.015472433376512718,0.3,0.0,0.0,5.0,202.45036078165,1123.6332955319267,551.3262700436724,0.12703977999087238,0.9965050507911517,0.5662356592452891,dqn1000_deterministic,0,0.0
31,1.9357677031718685,0.0,96.10010780976054,96.10010780976054,711.6214876345292,96.10010780976054,0.32826117016519907,95.77184663959535,138.43816583811505,68.26339186300773,206.7015577011228,0.6625,8.0,0.0230495747678719,0.0,0.0230495747678719,206.7015577011228,1.6,11.524787383935951,193.57677031718686,4.0,4.0,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.571820785830229,6.932397594263485,4.44643809568845,0.014144101608516375,0.3,0.0,0.0,5.0,152.908856001888,1089.5100369080233,532.6060934039775,0.13504385334007105,0.9965841747980656,0.7103362672406331,dqn1000_deterministic,0,0.0
32,1.8292383292198666,0.0,68.67386780203195,68.67386780203195,471.49154979165667,68.67386780203195,0.1904423087998778,68.48342549323206,132.89105042763526,61.89775011487534,194.78880054251056,0.6625000000000001,8.0,0.020529935241047778,0.0,0.020529935241047778,194.78880054251056,1.6,10.264967620523889,182.92383292198667,4.125,4.125,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.562219330474828,6.90530418927656,4.583036778280667,0.010853979111525108,0.3,0.0,0.0,5.0,98.14479797389,1041.7564519328043,457.9648627780612,0.14565238302229946,0.9972268591402353,0.9013290221734662,dqn1000_deterministic,0,0.0
33,1.557112232061864,0.0,64.47610759215337,64.47610759215337,387.5378091048561,64.47610759215337,0.14289688770283757,64.33321070445052,127.73593206775391,38.74870712128377,166.48463918903767,0.037500000000000006,0.9375,0.02117183196570257,0.0,0.02117183196570257,166.48463918903767,0.1875,10.585915982851285,155.7112232061864,4.25,4.25,0.0,0,digester_influent_original_dynamic.csv,True,22,0.3,0.0,,,6.577874680771548,6.918387172257459,4.649325979906289,0.010281245088822569,0.3,0.0,0.0,0.0,117.811438424797,1011.0815687502397,259.38930695555996,0.16637372167913575,0.997783723412605,0.600977766312919,dqn1000_deterministic,0,0.0
34,1.504363673586931,0.0,98.48400692135891,98.48400692135891,425.4205259033773,98.48400692135891,0.25074916890999305,98.23325775244892,125.97591369545867,36.60100442360476,162.57691811906346,0.037500000000000006,0.9375,0.023906101520740727,0.0,0.023906101520740727,162.57691811906346,0.1875,11.953050760370363,150.4363673586931,4.375,4.375,0.0,0,digester_influent_original_dynamic.csv,True,22,0.3,0.0,,,6.600682607269138,6.929884344013894,4.656885272144844,0.014444078503973112,0.3,0.0,0.0,0.0,264.920745647613,1013.521145204023,318.37753231885443,0.2314980141407819,0.9974539097590717,0.3716441437322028,dqn1000_deterministic,0,0.0
35,1.8715061367508907,0.0,146.88806468605657,146.88806468605657,996.4966716776757,146.88806468605657,0.5425878832930998,146.34547680276344,131.57795923348897,69.12999744563882,200.7079566791278,0.6625000000000001,8.0,0.023914686008077484,0.0,0.023914686008077484,200.7079566791278,1.6,11.957343004038743,187.15061367508906,4.5,4.5,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.573195336855554,6.9042456230817235,4.778152479807718,0.01746135079014058,0.3,0.0,0.0,5.0,198.717105803062,1081.5638770258515,610.619212376643,0.14740447094395173,0.9963061131995116,0.4706304599586778,dqn1000_deterministic,0,0.0
36,1.9404659212620896,0.0,107.55840781571737,107.55840781571737,851.9635521676726,107.55840781571737,0.3516715375680045,107.20673627814936,132.63298784844866,71.76981732540654,204.40280517385523,0.6625000000000001,8.0,0.01751242609529251,0.0,0.01751242609529251,204.40280517385523,1.6,8.756213047646256,194.04659212620896,4.625,4.625,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.510396024401732,6.881584499582504,4.987398217572589,0.015043919443364006,0.3,0.0,0.0,5.0,166.371714852735,1028.9798169316186,545.2407057494788,0.12624766346172178,0.9967304133195191,0.6672636643001599,dqn1000_deterministic,0,0.0
37,1.6847191118837426,0.0,108.97234362778305,108.97234362778305,789.1591047592087,108.97234362778305,0.31853758229850754,108.65380604548454,121.53113756761063,51.65894756025767,173.19008512786831,0.037500000000000006,0.9375,0.009061347878988074,0.0,0.009061347878988074,173.19008512786831,0.1875,4.530673939494037,168.47191118837426,4.75,4.75,0.0,0,digester_influent_original_dynamic.csv,True,22,0.3,0.0,,,6.438242183518756,6.899476608849655,5.1745634492884225,0.015533637972760663,0.3,0.0,0.0,0.0,200.575281369603,920.6472137488822,371.1836750491133,0.1380866582804403,0.9970768951855662,0.47405557998008374,dqn1000_deterministic,0,0.0
38,1.7631527156319624,0.0,160.78241942079933,160.78241942079933,938.3831105320544,160.78241942079933,0.5707593767356018,160.2116600440637,106.6858903488701,71.63489161426945,178.32078196313952,0.6625000000000001,8.0,0.0008110207998865717,0.0,0.0008110207998865717,178.32078196313952,1.6,0.4055103999432858,176.31527156319623,4.875,4.875,0.0,0,digester_influent_original_dynamic.csv,True,21,0.3,-5.0,,,6.329652770061809,6.875206962974879,5.396958837792466,0.02060982621893844,0.3,0.0,0.0,5.0,234.185966252026,787.5637888216473,655.3422936424304,0.17133984788967185,0.9964501132723856,0.445539331180151,dqn1000_deterministic,0,0.0
