policy,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in
fixed_open_loop_action,15,15.0,0.1,-20.0,0.1,0.0,0.0,20.0,-100.876349247844,-10087.634924784401,6771.811819450854,319.9,16539.546744235253,5067.012739184338,4593.964980536859,5775.874367317691,995.9374521331638,6771.811819450854,140.7,1599.5,33.07909348847051,56,7.0,5.331586039847329,0.6410426047076477,6.668221416973279,2.352780195726156,0.1448237801537408,0.9139239304456245,2.1465342331457222
fixed_open_loop_action,16,16.0,0.1,-5.0,0.1,0.0,0.0,5.0,68.80527327388431,6880.5273273884295,8931.181881935605,82.6,1968.054554547175,5067.012739184338,5022.625172585009,5775.874367317691,3155.3075146179135,8931.181881935605,35.7,413.0,3.9361091090943496,56,7.0,5.331586039847329,5.8746190778154,6.668221416973279,6.6236255178603525,0.1448237801537408,0.9779155420456288,2.3549119167343213
fixed_open_loop_action,17,17.0,0.1,0.0,0.1,0.0,0.0,0.0,75.48793934592618,7548.793934592619,8981.345844560601,3.5,1429.051909967982,5067.012739184338,5036.932365895941,5775.874367317691,3205.4714772429097,8981.345844560601,0.7,17.5,2.8581038199359643,56,7.0,5.331586039847329,7.480229154554162,6.668221416973279,7.391922755114167,0.1448237801537408,0.9785205823527997,2.1623601230059477
fixed_open_loop_action,18,18.0,0.1,5.0,0.1,0.0,5.0,0.0,-31.81690712326005,-3181.6907123260053,7263.106632108789,178.5,10266.297344434795,5067.012739184338,4624.491078963758,5775.874367317691,1487.2322647910978,7263.106632108789,35.7,892.5,20.53259468886959,56,7.0,5.331586039847329,12.519113094799174,6.668221416973279,10.351899406384424,0.1448237801537408,0.9133981805030631,1.6467643173302198
fixed_open_loop_action,19,19.0,0.1,20.0,0.1,0.0,20.0,0.0,-116.14845565528712,-11614.845565528713,7006.698883955629,703.5,17918.04444948434,5067.012739184338,4457.2679413522765,5775.874367317691,1230.824516637938,7006.698883955629,140.7,3517.5,35.83608889896868,56,7.0,5.331586039847329,13.459851555913948,6.668221416973279,12.556267450951282,0.1448237801537408,0.8673381666254768,1.079942894930566
fixed_open_loop_action,20,20.0,0.3,-20.0,0.3,0.0,0.0,20.0,-99.46524207042265,-9946.524207042265,7377.796874305275,326.90000000000003,16997.42108134754,5182.801672820451,4682.553765819014,6377.523526747907,1000.273347557368,7377.796874305275,142.1,1634.5,33.99484216269508,56,7.0,6.553737034165714,0.6468330939291566,6.941565835671502,2.360379584175096,0.14813322339620089,0.9113113696138969,2.1359393397841058
fixed_open_loop_action,21,21.0,0.3,-5.0,0.3,0.0,0.0,5.0,72.65500678025091,7265.500678025093,9711.13603493817,89.6,2356.035356913078,5182.801672820451,5147.319621505663,6377.523526747907,3333.612508190263,9711.13603493817,37.099999999999994,448.0,4.712070713826156,56,7.0,6.553737034165714,6.085255358974404,6.941565835671502,6.654131926358095,0.14813322339620089,0.9788861480308917,2.350471538925131
fixed_open_loop_action,22,22.0,0.3,0.0,0.3,0.0,0.0,0.0,77.02178103935768,7702.178103935767,9625.515392387644,10.5,1912.8372884518762,5182.801672820451,5151.649055036774,6377.523526747907,3247.9918656397363,9625.515392387644,2.0999999999999996,52.5,3.8256745769037526,56,7.0,6.553737034165714,7.527337040882018,6.941565835671502,7.406543726326471,0.14813322339620089,0.9785257046724288,2.1478200186442105
fixed_open_loop_action,23,23.0,0.3,5.0,0.3,0.0,5.0,0.0,-30.63607891059075,-3063.607891059075,7885.6195565926155,185.5,10763.72744765169,5182.801672820451,4715.3905319029045,6377.523526747907,1508.0960298447071,7885.6195565926155,37.099999999999994,927.5,21.52745489530338,56,7.0,6.553737034165714,12.525040604451483,6.941565835671502,10.355853569916208,0.14813322339620089,0.9110687412841286,1.636356346763138
fixed_open_loop_action,24,24.0,0.3,20.0,0.3,0.0,20.0,0.0,-114.89470393395746,-11489.470393395746,7624.0770057303325,710.5,18403.04739912608,5182.801672820451,4545.89229642029,6377.523526747907,1246.553478982425,7624.0770057303325,142.1,3552.5,36.80609479825216,56,7.0,6.553737034165714,13.4605337851363,6.941565835671502,12.556608215163456,0.14813322339620089,0.8662567770869204,1.0713349363433733
