episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
36,56,2072,4.487117290496826,196.51563811302185,72.34758415388085,7234.758415388085,9441.897366387038,98.8605,2108.278450998955,4762.034145317586,4726.453809982087,3091.6685951629515,494.30249999999995,4.21655690199791,5.8216656510727445,6.479393944495267,6.768913264527841,6.525114561911407
37,56,2128,4.5293450355529785,201.7305326461792,69.39330837033052,6939.330837033052,8909.681997195332,155.472,1814.8791601622797,5057.424453652553,5028.047696142405,3161.1753139532807,777.36,3.6297583203245596,5.302401025713197,6.465871126280938,6.667047418976209,6.670283520843587
38,56,2184,4.348789691925049,207.1151237487793,69.46100353180559,6946.100353180558,8996.739856089445,97.7715,1952.8680029088873,5269.725117118736,5243.596658540858,3229.300372768007,488.85749999999996,3.905736005817775,5.579164538628545,6.800238412889909,6.7883867150024315,6.66346219608382
39,56,2240,4.356166362762451,212.2236053943634,58.90249152538958,5890.249152538958,8057.509512914537,158.26000000000005,2009.0003603755797,5551.22763218165,5504.187351186796,3345.660438341224,791.3,4.018000720751159,4.9696226217278445,6.728615142613465,6.364227466390785,6.510541265598853
40,56,2296,4.385996580123901,217.29980492591858,60.68916948994831,6068.916948994831,8341.115895511244,148.50400000000002,2123.694946516413,5329.786481826322,5288.700711009575,3240.2340846075895,742.52,4.2473898930328255,5.007134048027116,6.127940745401763,6.460716876365176,6.523776400308946
41,56,2352,4.492434501647949,222.74026441574097,63.110745346769164,6311.074534676916,8737.677098113774,175.74300000000002,2250.8595634368576,5132.592267330066,5089.72051956651,3059.502617967186,878.715,4.5017191268737164,5.218307908496743,6.036995584855435,6.642821721867078,6.482134555083131
42,56,2408,4.494871377944946,227.97270607948303,66.601097382843,6660.109738284299,9431.676632552604,173.18550000000002,2598.3813942683055,4936.9309294885825,4887.789759161486,3149.789200940362,865.9275,5.196762788536611,5.882818483579785,6.5093417726008,6.83127060310224,6.450120897297517
43,56,2464,4.592136859893799,233.31352877616882,68.98955021393681,6898.955021393682,9040.833272873777,152.368,1989.5102514800967,4963.8356884426885,4933.6118797751815,3123.9797424617714,761.8399999999999,3.9790205029601937,5.310738503216029,6.181994525103655,6.691111785960687,6.574083155208223
44,56,2520,4.364654779434204,238.54597926139832,71.83982349345239,7183.982349345239,9351.364580256753,104.68299999999999,2062.6992309115158,4834.071358972777,4805.781664079457,3147.355375676324,523.415,4.125398461823031,5.554692553136586,6.489740020936515,6.775216940471992,6.571237631294977
45,56,2576,4.415297746658325,243.74632120132446,69.22339790294942,6922.339790294942,8984.619946838458,133.31650000000002,1928.963656543517,5239.118540492378,5211.213314030923,3244.2887120253617,666.5825,3.857927313087034,5.45838135982231,6.295693288481687,6.738204387164659,6.677445728133855
46,56,2632,4.490575551986694,249.03389596939087,75.21814810102134,7521.814810102134,9611.336072434446,109.23349999999999,1980.287762332312,4959.279462166969,4934.22579935914,3231.6968799445126,546.1675,3.9605755246646237,6.023308484818811,6.461774139391935,6.856709863784873,6.651699262164522
47,56,2688,4.332642078399658,254.22876811027527,82.04889587578988,8204.889587578988,9839.537930459821,68.957,1565.6913428808334,4730.806752678032,4706.9037117597145,3187.703132681052,344.785,3.131382685761667,6.34805969970154,6.92885002743743,6.837842134812585,6.978921259328127
48,56,2744,4.430441379547119,259.45815658569336,73.94593681134252,7394.593681134253,9460.764110863116,111.315,1954.8554297288651,5047.80029768482,5022.222521618416,3289.3266880541605,556.5749999999999,3.9097108594577303,5.70381151344609,6.064604824314941,6.816106189919345,6.660837479327539
49,56,2800,4.47648024559021,264.82516407966614,78.47250635131246,7847.250635131246,9655.446051373012,126.18350000000001,1682.0119162417664,4770.871572793178,4750.20090479455,3041.139817929512,630.9175,3.3640238324835328,6.320889783935969,6.953495473482409,6.856561337685824,6.939875047046992
50,56,2856,4.38006067276001,270.1207375526428,73.59399957707865,7359.399957707863,9110.504922680673,98.458,1652.6469649728092,5047.9493236543385,5023.3890627854025,3255.6566591580045,492.28999999999996,3.305293929945618,5.293090070594802,6.672567800193465,6.699308249543549,6.7757819051506045
51,56,2912,4.390669584274292,275.377236366272,75.35195659833879,7535.195659833878,9515.742284289383,121.128,1859.418624455504,5027.294049500724,5003.139015242674,3267.7540306598903,605.64,3.718837248911008,5.810927072254574,6.006152274620206,6.853150850498223,6.875380088770676
52,56,2968,4.378184080123901,280.9752676486969,75.77042906763907,7577.042906763907,9704.308503820737,74.225,2053.040597056831,5069.023031490639,5046.57249025626,3239.2832439211197,371.125,4.106081194113662,6.5030255964497234,6.627831621243606,6.92584358342024,6.676041289599179
53,56,3024,5.010967254638672,286.84653639793396,74.43635355366239,7443.635355366238,9625.88027135333,89.3315,2092.9134159870905,5170.345245616099,5146.761004614358,3304.7625037723597,446.6575,4.185826831974181,6.415558895502983,6.360807469404236,6.923890817619137,6.656644471530046
54,56,3080,4.586355447769165,292.2697720527649,76.73198801101664,7673.198801101664,9615.983279923235,49.425,1893.3594788215719,5126.431154654543,5105.369380578339,3191.278541195134,247.125,3.786718957643144,6.546124359020952,7.124803289134569,6.9314483271585585,6.896082717681738
55,56,3136,4.492384672164917,297.659784078598,72.21840920656467,7221.840920656468,9369.60519814778,132.602,2015.1622774913121,4942.335402730617,4912.460309238728,3152.1903784782107,663.01,4.030324554982624,5.863618606023571,6.660044832526696,6.808318460570539,6.590852748354059
56,56,3192,4.484761476516724,303.2870578765869,79.24560231178961,7924.560231178961,9742.893746353964,39.283500000000004,1779.0500151750036,4992.538490478164,4970.977118057492,3209.2214868858027,196.4175,3.5581000303500074,6.510474335758568,7.225903282874609,6.902969602617975,7.034308796955058
57,56,3248,4.559227705001831,308.782607793808,74.86961389975461,7486.96138997546,9577.674584476848,157.33300000000003,1933.3801945013868,4940.036966973574,4915.20809835196,3037.6725933979546,786.665,3.8667603890027733,6.45719910923278,7.234003310015185,6.890201024603551,6.890778301384101
58,56,3304,4.47196364402771,314.5380551815033,77.19193417403511,7719.1934174035105,9593.573320212387,84.46900000000001,1789.9109028088749,5023.66882275262,4998.892735049797,3127.222662585299,422.345,3.57982180561775,6.458177610420228,7.3672099508293565,6.903428160951465,7.072401404096603
59,56,3360,4.536670207977295,320.0114200115204,77.58910647263383,7758.910647263383,9694.722288790033,53.587500000000006,1882.2241415266494,5071.252604570895,5049.914053109636,3226.556133396401,267.9375,3.764448283053299,6.557382460140089,7.238516597524813,6.928399784337072,6.887310265863568
60,56,3416,4.491346120834351,325.74592208862305,78.34384538761957,7834.384538761957,9738.333511641005,81.984,1821.9649728790498,5001.889258675439,4980.138571991962,3224.2002165137565,409.92,3.6439299457580994,6.432020508707999,6.991957178005107,6.914598229160901,6.994823339634592
61,56,3472,4.5353920459747314,331.3156361579895,73.14775126547869,7314.775126547869,9016.90377755757,82.80349999999999,1619.3251510097011,5273.959796834368,5252.195090244691,3405.7550280197643,414.0175,3.2386503020194017,5.352122067066465,6.5969571194307655,6.704028275287582,6.846804315798358
62,56,3528,4.4360268115997314,337.24531054496765,78.91988921472324,7891.9889214723225,9689.17429786075,44.569500000000005,1752.6158763884266,4978.923988868475,4957.176749995815,3154.2582258812354,222.8475,3.5052317527768535,6.48626631180839,7.479236119210001,6.8952079443781935,7.06656128917495
63,56,3584,4.37615966796875,342.6278078556061,80.19291237814913,8019.291237814912,9873.299927142918,53.57500000000001,1800.4336893280042,4972.485388773992,4951.737785118411,3325.5386539977453,267.875,3.600867378656009,6.534800046148933,6.715095277973469,6.908600143901755,6.93136353206161
64,56,3640,4.458536386489868,348.1826333999634,76.21026089265762,7621.0260892657625,9685.432438979147,94.438,1969.9683497133844,5017.096573091088,4990.000644540302,3173.24538280482,472.19,3.939936699426769,6.562718038739042,6.870486184201347,6.92352739346727,7.124822415834379
65,56,3696,4.5559399127960205,353.82072949409485,70.43847909515642,7043.847909515643,9479.357650810907,112.876,2322.6337412952635,5070.621004773882,5029.703564496851,3010.7096808158717,564.38,4.645267482590527,6.55918063113521,6.137944109029821,6.929114759222303,6.652817660431126
66,56,3752,4.526507139205933,359.4099717140198,75.84008799228083,7584.008799228082,9784.206582197488,93.31450000000001,2106.8832829694056,4837.015895730421,4807.905397809987,3123.0800008901224,466.57250000000005,4.213766565938811,6.560200561827931,5.979917021974786,6.898709322941115,6.6902771736942475
67,56,3808,4.446131229400635,365.08136010169983,76.92152569480751,7692.1525694807515,9764.628335364725,114.183,1958.2927658839726,4980.33572849992,4954.961109463604,3234.8107331095844,570.9150000000001,3.916585531767945,6.526766184439067,6.2550628061334645,6.911272451106505,6.955105702738176
68,56,3864,4.600078821182251,370.7154266834259,72.97899996432517,7297.899996432517,9705.469537308432,171.06900000000002,2236.500540875915,4867.976308447066,4832.515015586873,3090.755599221976,855.345,4.47300108175183,6.518399265862172,5.712753366237731,6.896480120419469,6.743315872466153
69,56,3920,4.416194438934326,376.3957896232605,76.3493012496361,7634.93012496361,9769.477123415803,139.26550000000003,1995.2814984521947,4982.467193274335,4956.429106648089,3235.265559949252,696.3275000000001,3.99056299690439,6.52619909773203,5.853460376421352,6.908118416717767,6.7948487297836255
70,56,3976,4.515733003616333,382.011741399765,70.18227357183929,7018.227357183929,9525.296668613828,150.0695,2356.9998114298987,4949.063011497408,4901.751514586259,2978.256909362936,750.3475,4.713999622859797,6.437975945669114,6.868116951748128,6.897931485493092,6.6417553361513475
71,56,4032,4.978578090667725,388.27944231033325,73.12309477760958,7312.3094777609585,9512.1167793511,87.6945,2112.1128015901418,5073.523136161424,5046.030209715649,3261.451596686015,438.4725,4.224225603180283,6.0827063749256345,6.309974847626821,6.875282529271986,6.7419641922228255
72,56,4088,4.711657285690308,394.06451869010925,79.84762976185709,7984.76297618571,9662.440196826541,78.233,1599.4442206408314,4953.356735935298,4931.992028353738,3294.427220682157,391.165,3.1988884412816625,6.132313832147519,6.75758358846157,6.841767048106535,7.007998737413976
73,56,4144,4.6319334506988525,399.95331382751465,78.80462448449273,7880.462448449273,9783.08884592325,77.35849999999999,1825.267897473977,5038.172961071834,5016.284222372074,3364.7852227764433,386.7925,3.6505357949479538,6.377671182762971,6.4936576540361814,6.889879070575678,6.81960157692261
74,56,4200,4.632205963134766,405.79583382606506,78.55764528986198,7855.764528986198,9784.925111336805,69.2885,1859.8720823506042,5121.369265955756,5099.844401619201,3407.2490161238984,346.4425,3.719744164701208,6.396565547335651,6.527136386383,6.918030480579598,6.95561231972894
75,56,4256,4.866851091384888,411.90649580955505,81.10400306408192,8110.400306408193,9991.164984313473,95.36350000000002,1785.4011779052794,4869.941910810709,4840.306888714948,3365.5280556306766,476.8175,3.5708023558105593,6.530175938542523,6.781163106336757,6.8964297182445575,7.258906457084267
76,56,4312,4.78019642829895,418.62567472457886,79.24768514682029,7924.768514682029,9883.693401537894,125.02650000000001,1833.8983868558653,4961.328338677559,4936.714758658436,3341.4780517042377,625.1325,3.6677967737117303,6.526237272337505,6.590489964132859,6.910220659366841,6.969330719166379
77,56,4368,4.691948652267456,425.50591135025024,77.36301976847373,7736.301976847373,9782.608106470925,135.663,1910.6431296235532,5072.121769322102,5045.8572002560995,3357.7849637255144,678.315,3.8212862592471066,6.427952663317138,6.93359873794183,6.917221162934128,6.872518118778663
78,56,4424,4.422859191894531,431.4637622833252,78.573003744351,7857.300374435101,9729.561328063364,66.9565,1805.3044536282637,5079.264444732988,5058.279641609679,3392.8994010594142,334.7825,3.610608907256527,6.282091194712763,6.638607751490525,6.904489758101773,6.885178515406486
79,56,4480,4.5772693157196045,437.2404112815857,80.298847149045,8029.884714904501,9846.026803507555,59.3465,1756.7955886030545,4923.599159330569,4902.578431531801,3371.801202551739,296.73249999999996,3.5135911772061093,6.293623488234598,6.6182865926690075,6.888744951923671,6.916301993459458
80,56,4536,4.599554061889648,443.1679198741913,74.1796808280408,7417.96808280408,9333.65449702218,75.96950000000001,1839.716914218102,5222.584980469905,5199.906586950585,3381.006626170537,379.84749999999997,3.6794338284362036,5.693587904221916,6.425409403726547,6.8400183470773595,6.734037711374559
81,56,4592,4.443359375,448.8350455760956,80.62975200760852,8062.975200760853,9760.451658196993,95.4515,1602.02495743614,4806.112719966035,4785.264900913268,3304.058637942966,477.25750000000005,3.2040499148722796,5.974143937426609,6.690570093228604,6.836297640179052,6.938595211639133
82,56,4648,4.341812610626221,454.42270612716675,81.45841664694834,8145.8416646948335,9918.30392859066,63.77949999999999,1708.6827638958268,4823.387387523508,4802.969765762573,3337.610588476664,318.8975,3.4173655277916537,6.319339729785311,6.668003210109551,6.879767340812315,6.894184202659092
83,56,4704,4.387714862823486,460.33530020713806,79.8294924881267,7982.949248812671,9854.784570647606,59.34400000000001,1812.4913218349345,4971.234138966982,4950.622363503109,3304.4084865162013,296.72,3.6249826436698687,6.5190014023982314,6.694985502878243,6.912538321371168,6.8529846264946945
84,56,4760,4.5022172927856445,466.0939464569092,79.22124042467696,7922.124042467696,9794.122843022382,95.1255,1776.873300554685,4872.591854864365,4850.262864534401,3187.9985545623276,475.62750000000005,3.5537466011093706,6.509536445736368,6.967760956325564,6.896280573215583,7.074983937782854
85,56,4816,4.545024633407593,472.1033926010132,78.80291258465164,7880.291258465164,9793.767908962878,65.726,1847.7506504977146,5045.1720694376245,5024.53912631471,3329.815718564306,328.63,3.6955013009954287,6.465835663835706,6.652732498578116,6.914971629950045,6.797178792081614
86,56,4872,4.390496492385864,477.76107263565063,81.28578859531046,8128.578859531048,9924.156128969473,65.15,1730.4272694384254,4865.81674840206,4845.229325036184,3318.0278504109165,325.75,3.46085453887685,6.426024013686471,6.58513726157268,6.88741799521148,6.892485405098804
87,56,4928,4.401708364486694,483.62486147880554,80.83087480176687,8083.087480176687,9868.828661120733,40.1955,1745.5456809440461,4779.625137399302,4759.318107561225,3160.4532933158334,200.9775,3.4910913618880923,6.569157047214764,7.082628659716305,6.89388296506072,6.966145365960498
88,56,4984,4.431483745574951,489.33774161338806,80.28772875317603,8028.772875317602,9839.683145111547,40.044,1770.8662697939467,4854.177047462774,4832.98785891576,3199.5013265078323,200.22,3.541732539587893,6.534822167872381,7.040947208916556,6.900837057903585,7.00220324944254
89,56,5040,4.3618974685668945,495.1225504875183,81.58841012448727,8158.841012448726,9998.860552134216,98.50999999999999,1741.5095396854917,4769.832939363861,4748.6281243158965,3282.3022445162055,492.55,3.483019079370984,6.568363882383821,6.761368579870268,6.892725606407262,7.011285303102363
90,56,5096,4.393761396408081,500.8429844379425,82.96577741507667,8296.577741507668,10025.106453709652,116.9555,1611.5732122019838,4556.43109809966,4534.317292820545,3149.845427913817,584.7774999999999,3.223146424403968,6.5452977114442294,6.856570594029387,6.855331162844365,7.12648203355589
91,56,5152,4.269364595413208,506.6274917125702,82.81782754114403,8281.782754114403,9976.46940816451,66.006,1628.6806540501077,4661.483342355599,4641.872252650569,3219.881371372143,330.03,3.257361308100215,6.42822007016644,6.6248541143420105,6.856522897074894,6.8457185374637195
92,56,5208,4.334257364273071,512.2796757221222,79.38346800859927,7938.346800859927,9978.86725376706,95.50999999999999,1945.0104529071355,4719.560519304605,4695.088610954679,3223.7351917419446,477.54999999999995,3.890020905814271,6.519115934998289,6.976870279097448,6.883975252057925,6.733832290629644
93,56,5264,4.354377031326294,518.189954996109,79.72423844547401,7972.423844547403,9799.716582664834,69.352,1757.9407381174306,4906.800025610226,4885.354402588888,3278.3250702045398,346.76,3.5158814762348616,6.328492233454461,6.782792441080921,6.888512035634128,6.865960330338696
94,56,5320,4.5080246925354,524.061271905899,78.26533764209938,7826.533764209939,9771.254163143038,135.0065,1809.7138989330979,4973.487452441701,4946.7387154762055,3222.2318774687888,675.0325,3.6194277978661957,6.514618976596901,7.079863827523967,6.910688638370168,7.18115308393905
95,56,5376,4.452224254608154,529.9835803508759,80.59186675000784,8059.186675000784,9860.898518940605,48.288,1753.4238439398205,4811.429252394541,4791.155413962819,3193.8767422808332,241.44,3.506847687879641,6.548569595321993,7.017253195745809,6.895959107638881,6.893646589315712
96,56,5432,4.445235967636108,535.8555715084076,81.39483601547144,8139.483601547146,9942.322177685746,56.3455,1746.4930761386017,4836.380704353493,4814.903588356738,3277.7977963803196,281.72749999999996,3.4929861522772034,6.548344525176332,6.795586319951739,6.893984034171782,6.9585377600360285
97,56,5488,4.5716469287872314,541.8532984256744,80.17522362665737,8017.522362665737,9847.02046863264,51.739000000000004,1777.759105966902,4892.683647475784,4870.144602767969,3233.376169441911,258.695,3.555518211933804,6.547169757084146,7.022519466351274,6.902909638998059,7.094117410586553
