episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,update_policy_loss,update_value_loss,update_entropy,update_approx_kl
47,56,2688,5.046003818511963,295.81972336769104,67.42949691384837,6742.949691384838,8583.451658196242,189.20999999999998,1651.291966811405,5149.181034576874,5120.223063617779,5489.945550088739,3093.5061081075037,8583.451658196242,69.89999999999999,946.0500000000001,3.3025839336228096,5.1987018800275955,5.976001029167215,6.550057485518246,6.731268605094395,0.037869516760110855,219.7222137451172,2.997938394546509,0.001146394177339971
48,56,2744,4.884212970733643,301.7363564968109,67.9089117502982,6790.89117502982,8476.687503647754,182.554,1503.242328617935,5214.759463165472,5174.50477458609,5306.6605903791105,3170.0269132686453,8476.687503647754,60.36249999999999,912.77,3.0064846572358697,5.141653489832143,7.133046035630661,6.487633836835449,7.45950485286894,,,,
49,56,2800,5.080002307891846,307.7733356952667,57.73332254173967,5773.332254173967,7979.037184804596,211.63100000000003,1994.0739306306295,5280.01049112891,5194.75910690198,5203.481325506771,2775.5558592978255,7979.037184804596,66.2875,1058.155,3.9881478612612593,5.12834573230942,7.993408211018032,6.471287284795841,7.828392538338126,,,,
50,56,2856,4.902677774429321,313.77899646759033,63.984013312006596,6398.40133120066,8488.526861602673,184.062,1906.0635304020125,5133.699945556984,5078.248360917529,5442.570909609249,3045.9559519934237,8488.526861602673,66.925,920.31,3.8121270608040247,5.1746910999395155,6.845760122960758,6.523189959082702,6.607197664100627,,,,
51,56,2912,5.5865278244018555,320.5119333267212,66.26406044937616,6626.406044937616,8381.485408288401,206.70100000000002,1548.3783633507833,5186.602001622157,5155.942331962971,5291.086548405525,3090.3988598828755,8381.485408288401,72.5625,1033.5049999999999,3.0967567267015665,5.119519389860085,7.001428537853247,6.47367802127936,6.949872232095049,0.10872844606637955,150.0747833251953,2.9744529724121094,0.0019229855388402939
52,56,2968,5.375046253204346,327.077433347702,52.280222961610725,5228.0222961610725,7806.1242158502355,224.623,2353.4789196891643,5245.30954815559,5125.520860763976,5126.305461220789,2679.818754629447,7806.1242158502355,67.7625,1123.115,4.706957839378328,5.0604841036550035,8.677553683673748,6.424751939360895,7.928418465372691,,,,
53,56,3024,5.5777363777160645,333.77626872062683,34.92480691612782,3492.4806916127823,7689.590379426945,215.448,3981.661687814163,5094.187777456343,4811.667702546711,5529.898085868683,2159.6922935582625,7689.590379426945,64.89999999999999,1077.24,7.963323375628327,5.193233428093089,8.29789147388173,6.553558845081753,8.548857948060732,,,,
54,56,3080,5.081997394561768,340.47200322151184,70.12151122142654,7012.151122142654,8465.919358563679,201.0325,1252.7357364210236,5197.741770361939,5170.015911694225,5285.026263825437,3180.89309473824,8465.919358563679,67.675,1005.1624999999999,2.5054714728420473,5.130668839133116,7.115476548183926,6.478833543429052,7.1066496732399935,,,,
55,56,3136,5.09667706489563,346.8058087825775,60.61581837830926,6061.581837830925,8159.842353285048,181.6325,1916.6280154541237,5206.186669486879,5147.27050886998,5286.417858741576,2873.424494543473,8159.842353285048,67.5625,908.1624999999999,3.833256030908247,5.099766037226262,5.469443993462613,6.48149158771469,7.054857048695303,-0.1625843197107315,132.63058471679688,2.933429479598999,0.004515995737165213
56,56,3192,6.732056379318237,354.9424841403961,24.30202159446315,2430.202159446315,7352.846038390053,204.18,4718.463878943738,5221.78321085833,4860.216268624522,5361.7100098737665,1991.1360285162864,7352.846038390053,59.2625,1020.9,9.436927757887478,5.1280016741041825,8.702426711787089,6.528870463880592,8.72897481013322,,,,
