target,time,prbs_segment,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_q_NaOH_m3_d,stage1_u_NaOH_kmol_d,stage1_q_HCl_m3_d,stage1_u_HCl_kmol_d,stage2_q_NaOH_m3_d,stage2_u_NaOH_kmol_d,stage2_q_HCl_m3_d,stage2_u_HCl_kmol_d
stage1,14.21875,8,7.0,7.0,6.954583740943378,7.010879946613049,1.2091714985820456,30.229287464551142,0.0,0.0,0.0,0.0,2.9458461318428704,33.288061289824434
stage1,14.22916667,8,7.0,7.0,6.954621198078577,7.01087580400564,1.2091714985820456,30.229287464551142,0.0,0.0,0.0,0.0,2.9458461318428704,33.288061289824434
stage1,14.23958333,8,7.0,7.0,6.95465726795765,7.01087209416069,1.2091714985820456,30.229287464551142,0.0,0.0,0.0,0.0,2.9458461318428704,33.288061289824434
stage1,14.25,8,7.0,7.0,6.954689144120349,7.010868673255003,1.2160276973031279,30.400692432578197,0.0,0.0,0.0,0.0,2.9476628343213234,33.30859002783096
stage1,14.26041667,8,7.0,7.0,6.954820400052675,7.010863681924237,1.2160276973031279,30.400692432578197,0.0,0.0,0.0,0.0,2.9476628343213234,33.30859002783096
stage1,14.27083333,8,7.0,7.0,6.954937757765162,7.010859354026923,1.2160276973031279,30.400692432578197,0.0,0.0,0.0,0.0,2.9476628343213234,33.30859002783096
stage1,14.28125,8,7.0,7.0,6.955056612148227,7.010855274353808,1.2160276973031279,30.400692432578197,0.0,0.0,0.0,0.0,2.9476628343213234,33.30859002783096
stage1,14.29166667,8,7.0,7.0,6.955167512450353,7.01085166186228,1.2135133556102804,30.33783389025701,0.0,0.0,0.0,0.0,2.9490475274136028,33.324237059773715
stage1,14.30208333,8,7.0,7.0,6.955240531515973,7.010846845456449,1.2135133556102804,30.33783389025701,0.0,0.0,0.0,0.0,2.9490475274136028,33.324237059773715
stage1,14.3125,8,7.0,7.0,6.955311356174463,7.010842666493793,1.2135133556102804,30.33783389025701,0.0,0.0,0.0,0.0,2.9490475274136028,33.324237059773715
