time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,stage1_HRT_d,stage2_HRT_d,prbs_segment
0.708333333,7.0,7.148745607310463,7.0082967252355,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.71875,7.0,7.147906798108813,7.008159933999678,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.729166667,7.0,7.147054527068692,7.007858837054559,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.739583333,7.0,7.146189105605289,7.00771194461397,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.75,7.0,7.145310839028006,7.007401329659686,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.760416667,7.0,7.144420028406754,7.00748611921961,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.770833333,7.0,7.143516969065559,7.007357879842479,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.78125,7.0,7.142601950054887,7.00741631248744,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.791666667,7.0,7.141675256066641,7.007271215955111,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.802083333,7.0,7.140737165953778,7.007314915844874,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.8125,7.0,7.1397879522253405,7.007161979245031,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.822916667,7.0,7.138827883003253,7.007195412647592,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.833333333,7.0,7.137857220563855,7.007039712412161,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.84375,7.0,7.136876220851004,7.007064280694413,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.854166667,7.0,7.135885135468393,7.006910723522826,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.864583333,7.0,7.134884210238845,7.0069251527479715,0.0,0.0,0.9637762648622075,10.890671792942944,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.875,7.0,7.133873684731529,7.006780567873747,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.885416667,7.0,7.132853794284003,7.006841413977796,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.895833333,7.0,7.131824768575318,7.00675472335405,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.90625,7.0,7.130786831163933,7.006796121061477,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.916666667,7.0,7.129740201533717,7.006708121657206,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.927083333,7.0,7.128685093678133,7.006746547374389,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.9375,7.0,7.127621715644961,7.006659885735376,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.947916667,7.0,7.126550271602031,7.00669595256618,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.958333333,7.0,7.125470960429088,7.006611476888768,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.96875,7.0,7.124383975266962,7.00664572925721,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.979166667,7.0,7.12328950559838,7.0065641066933155,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.989583333,7.0,7.122187735845313,7.006596971899301,0.0,0.0,0.893879141958581,10.100834304131967,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.0,7.0,7.121078844920104,7.006518731283425,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.010416667,7.0,7.119963008317644,7.006573243348572,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.020833333,7.0,7.118840396716215,7.006517112102123,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.03125,7.0,7.117711175528424,7.006568255659857,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.041666667,7.0,7.116575507001817,7.006517319248471,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.052083333,7.0,7.1154335488212,7.006564464622369,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.0625,7.0,7.114285453658175,7.006519033377657,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.072916667,7.0,7.113131371276987,7.0065648799489795,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.083333333,7.0,7.111971447137528,7.006521446839074,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.09375,7.0,7.1108058219417565,7.006574539195378,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.104166667,7.0,7.10963463374277,7.006531808621882,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.114583333,7.0,7.108458016547312,7.006584802009954,0.0,0.0,0.8679153721116653,9.807443704861818,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.125,7.0,7.107276099858128,7.006547759540176,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.135416667,7.0,7.106089010784402,7.006591139284155,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.145833333,7.0,7.104896872642942,7.006550080792701,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.15625,7.0,7.103699804495897,7.006602926764958,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.166666667,7.0,7.102497923260813,7.006563117194241,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.177083333,7.0,7.101291342310048,7.006615723646299,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.1875,7.0,7.100080171003392,7.006579278306418,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.197916667,7.0,7.098864516796278,7.006640027675165,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.208333333,7.0,7.097644483837315,7.0066049074328465,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.21875,7.0,7.096420172495341,7.006666839414806,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.229166667,7.0,7.095191681464894,7.006637594296605,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.239583333,7.0,7.09395910636152,7.006699606078524,0.0,0.0,0.8777861847480207,9.918983887652635,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.25,7.0,7.092722539243246,7.0066737102166945,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.260416667,7.0,7.091482070712284,7.006724712006838,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.270833333,7.0,7.090237788508213,7.006672468467344,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.28125,7.0,7.088989777023942,7.0067542441993265,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.291666667,7.0,7.08773811940269,7.0067093369702365,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.302083333,7.0,7.086482896129389,7.00677270183965,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.3125,7.0,7.085224184540907,7.006733844160861,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.322916667,7.0,7.083962060918104,7.006799820410772,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.333333333,7.0,7.082696599075352,7.0067678168586225,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.34375,7.0,7.081427869865274,7.006836758491807,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.354166667,7.0,7.080155943265435,7.006810838307966,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.364583333,7.0,7.078880886966135,7.006880589748973,0.0,0.0,0.8997096809302657,10.166719394512004,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.375,7.0,7.077602765870024,7.006857752199274,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
