target,segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
stage1,17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,up,6.963228570639945,8.365619871124837,6.963228570639945,8.365619871124837,0.0,0.08793795528660059,0.2180603843434885,0.03438012887516351,0.19020408465465266,35.26216813441247,0.0,0.0,0.0
stage1,18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,down,8.36569148621317,6.953460970520031,6.926098855974321,8.365762975589671,0.07390114402567871,0.14980524285893265,0.3288165864819723,0.046539029479968796,0.9223410207999905,1.7921027414402912,38.56004136964262,0.0,0.0
stage1,19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,up,6.953371723017818,8.36111873997975,6.953194552023368,8.36111873997975,0.0,0.1531545949115353,0.34537170459715905,0.03888126002025061,0.30457530992303816,35.34820749038414,0.0,0.0,0.0
stage1,20,34.9103586089267,37.711623709005586,2.8012651000788864,7.0,down,8.361203312814379,6.966178140578298,6.920169198618085,8.361203312814379,0.0798308013819149,0.08057912791656162,0.19668401937953323,0.03382185942170235,0.9229747210733024,1.9358969322341442,38.43130689053507,0.0,0.0
stage1,21,37.711623709005586,40.0,2.288376290994414,8.4,up,6.966251805743636,8.376594752125238,6.966251805743636,8.376594752125238,0.0,0.054322496657473546,0.16379041482192125,0.023405247874762836,0.18420962099441596,35.276761590840216,0.0,0.0,0.0
stage2,0,0.0,1.9567581112961003,1.9567581112961003,7.0,initial,7.261303246469217,7.00519529417228,7.003987193014713,7.262727419582293,,0.024554267646650228,0.05652990514880681,0.0051952941722799295,,0.0,32.42705706045539,0.0,0.0
stage2,1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,up,7.005278854576876,8.394665217291804,7.005232136953472,8.409002958477917,0.009002958477916323,0.08470382485159515,0.25902451181408226,0.005334782708196428,0.33490855570389955,48.30199965217776,1.1119091406324633,0.0,0.0
stage2,2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,down,8.394687580985561,7.009961814034789,7.009828091791204,8.39473265198422,0.0,0.12931120565043722,0.3418738451190821,0.009961814034788574,0.306843378028562,0.26870855137856897,100.0,0.0,0.07317073170731707
stage2,3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,up,7.009921211908483,8.393870251384865,7.009921211908483,8.404055145739443,0.004055145739442878,0.16498834618192354,0.3509254998593124,0.0061297486151357106,0.33112815963214093,47.97531398547443,0.5005052098880322,0.0,0.0
stage2,4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,down,8.39380451772461,7.012301683219527,7.012239264404629,8.39380451772461,0.0,0.10294505078997045,0.30526400917744423,0.012301683219527071,0.3147686423224485,0.2225751421073686,100.0,0.0,0.05172413793103448
