segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
70,120.41175308919476,122.65911533704735,2.2473622478525925,7.0,down,8.378500219710343,7.008669010014091,6.944692561577423,8.379116821096376,0.05530743842257735,0.1135703794507858,0.3378226542844746,0.00866901001409115,0.650746910805239,1.9611027868901056,100.0,0.0,0.05555555555555555
71,122.65911533704735,125.2951879301992,2.6360725931518516,8.4,up,7.008634226870835,8.383393109345086,7.008439757989294,8.485751586641527,0.0857515866415266,0.09655121963542021,0.29960955806248096,0.016606890654914608,0.26796796295265324,49.34223581070155,10.638846315332003,0.0,0.0
72,125.2951879301992,128.08194332371724,2.7867553935180354,7.0,down,8.383452430958675,7.00751694746466,6.94048570056972,8.383866621729803,0.05951429943027975,0.09135231715266232,0.2935479934270343,0.007516947464660362,0.8506453698008016,2.110270549519602,100.0,0.0,0.0449438202247191
73,128.08194332371724,130.60259116627105,2.5206478425538137,8.4,up,7.007468443290255,8.382961924463887,7.007361668457182,8.488714308320406,0.08871430832040517,0.07742987053893141,0.2485357445776311,0.017038075536113695,0.22013997628275206,49.380462936134265,11.006418996505314,0.0,0.0
74,130.60259116627105,133.18305322924678,2.5804620629757267,7.0,down,8.383023750063439,7.007625861081721,6.934633194138466,8.383147286187006,0.06536680586153398,0.06902789574802351,0.23232589527278313,0.007625861081720586,0.5953255337289534,2.317789953780055,100.0,0.0,0.04838709677419355
75,133.18305322924678,135.7808635381775,2.5978103089307183,8.4,up,7.00757906133655,8.383263921823238,7.007429952037136,8.489559676300384,0.08955967630038408,0.08675076065577836,0.2748745530863011,0.016736078176762703,0.2440300707532117,49.3780417225911,11.111300321401323,0.0,0.0
76,135.7808635381775,138.0333011827567,2.252437644579203,7.0,down,8.383323356754811,7.008385203062944,6.934535740785126,8.383856594804705,0.06546425921487398,0.12276739531611068,0.3515104195758768,0.00838520306294388,0.8649697618224934,2.3212454752845337,100.0,0.0,0.055299539170506916
77,138.0333011827567,138.64070875914678,0.6074075763900737,8.4,up,7.008354997386088,8.367835395646832,7.008159426288029,8.484901346719575,0.08490134671957428,0.34066527933760793,0.6244540755034427,0.03216460435316826,0.2583655172433055,49.35217587113978,10.533360548653135,0.0,0.0
78,138.64070875914678,140.80043479062974,2.159726031482961,7.0,down,8.367864224449198,7.008546187369706,6.915502540397273,8.368168474211798,0.08449745960272725,0.12204752387936448,0.36594174756422887,0.00854618736970636,0.4113745408532168,2.9961286987465665,100.0,0.0,0.057971014492753624
79,140.80043479062974,142.1815416111943,1.381106820564554,8.4,up,7.00857867356271,8.374407984565506,7.008352822590092,8.498434164480669,0.09843416448066833,0.15403135342151358,0.39298660003529334,0.025592015434494186,0.2516485093702556,49.34531838437547,12.212321533661354,0.0,0.0
80,142.1815416111943,143.60934501085745,1.427803399663162,7.0,down,8.374500757070438,7.008703392379811,6.903689996088082,8.375057321549464,0.0963100039119178,0.14625202904008489,0.38717595177362063,0.008703392379810992,0.5997083888057091,3.4149803799258542,100.0,0.0,0.08759124087591241
81,143.60934501085745,144.70232622238797,1.092981211530514,8.4,up,7.008466885612088,8.372306012312764,7.008253230596589,8.492942836185026,0.09294283618502597,0.11039895411777709,0.29258497989560767,0.027693987687236188,0.19273828914253954,49.34884973823278,11.531035039819598,0.0,0.0
82,144.70232622238797,147.0491471738477,2.3468209514597334,7.0,down,8.372406677842383,7.007308511767605,6.909544158698556,8.372810325259906,0.09045584130144402,0.07861777881902207,0.27224463370429297,0.007308511767605275,0.5580904776120406,3.207402250514216,100.0,0.0,0.05333333333333334
83,147.0491471738477,148.76665982837488,1.7175126545271837,8.4,up,7.007331792874473,8.377209514505404,7.007140855565341,8.500465669311849,0.10046566931184842,0.12885661077980395,0.35307465839604224,0.02279048549459617,0.2633528261522997,49.38829256610666,12.464361974360475,0.0,0.0
84,148.76665982837488,150.706856409019,1.9401965806441126,7.0,down,8.377290669159269,7.00791570986198,6.905605633123234,8.378100940147645,0.09439436687676572,0.141456478028543,0.38994215622280026,0.007915709861980424,0.6604234716251085,3.3470553189312904,100.0,0.0,0.06451612903225806
85,150.706856409019,152.26264953292952,1.5557931239105187,8.4,up,7.007830334585309,8.376223094948088,7.007643672776718,8.494670299956303,0.09467029995630227,0.11225754885102641,0.3142818024640957,0.023776905051912323,0.2202268909809959,49.37046356764549,11.745354357953504,0.0,0.0
86,152.26264953292952,153.04344437303962,0.7807948401101044,7.0,down,8.376307865305343,7.021524528537376,6.914077813299839,8.377154540686423,0.08592218670016116,0.33325734681711766,0.6134558788748891,0.021524528537375964,0.6540171670704922,3.0466469718943414,100.0,0.0,0.16
87,153.04344437303962,154.66433564688782,1.6208912738482013,8.4,up,7.023034914424806,8.376443685484906,7.023034914424806,8.481720118831655,0.08172011883165453,0.1344940477775208,0.3606465880157813,0.0235563145150941,0.24822232696038782,48.59355322171608,10.138678701714149,0.0,0.0
88,154.66433564688782,157.6587104599824,2.9943748130945664,7.0,down,8.376528194734037,7.0071683876217685,6.937996130913491,8.377203348091024,0.06200386908650923,0.08577020915680096,0.2918335565177215,0.007168387621768524,0.6377476531121715,2.198546234133403,100.0,0.0,0.041666666666666664
89,157.6587104599824,160.11723589507426,2.4585254350918717,8.4,up,7.0071093815547165,8.382314867617296,7.006954194239286,8.495775333260259,0.09577533326025822,0.1020990942402061,0.30954120895818615,0.017685132382704083,0.2683728400176051,49.39491124267478,11.882451290553206,0.0,0.0
90,160.11723589507426,162.13755593758793,2.0203200425136743,7.0,down,8.382379509402625,7.008230274440218,6.921578134431655,8.382379509402625,0.07842186556834463,0.07008609022949547,0.22119822517550916,0.008230274440218288,0.5806808049257484,2.780699007322364,100.0,0.0,0.061855670103092786
91,162.13755593758793,164.14349983746183,2.0059438998738983,8.4,up,7.008188224222168,8.379152604830573,7.007932225704474,8.488649675423249,0.0886496754232482,0.13555975713485413,0.37178048014215126,0.020847395169427685,0.2895273624120591,49.36023199722879,10.998400259048688,0.0,0.0
92,164.14349983746183,166.5835931836938,2.4400933462319756,7.0,down,8.379226679492607,7.0078058695820005,6.929165775883908,8.379965677045435,0.07083422411609241,0.11628718504839614,0.3480017932109579,0.007805869582000469,0.6690001625381683,2.511654820458303,100.0,0.0,0.05106382978723404
93,166.5835931836938,168.58091931974351,1.9973261360497077,8.4,up,7.007813395597994,8.37958768481539,7.007700257635914,8.491000922190214,0.09100092219021327,0.08583855941046853,0.2603949577058327,0.020412315184611174,0.2184901163061852,49.36845716980407,11.290109765343104,0.0,0.0
94,168.58091931974351,170.5465329600398,1.965613640296283,7.0,down,8.379661609214876,7.008428050068959,6.925261782455324,8.37995698376595,0.07473821754467558,0.09875906609941522,0.3001710922505037,0.008428050068959081,0.606580680256485,2.650083440751654,100.0,0.0,0.06349206349206349
95,170.5465329600398,173.33934556098487,2.7928126009450693,8.4,up,7.008443973043606,8.384313517227309,7.008285401893216,8.488381364518157,0.08838136451815615,0.08686422155058843,0.278227174676082,0.01568648277269169,0.2555503399601946,49.34770900162895,10.965112029689914,0.0,0.0
96,173.33934556098487,174.91100780414695,1.5716622431620806,7.0,down,8.384370175860099,7.010158043760964,6.937443924068527,8.384539920955927,0.06255607593147339,0.11907444087079957,0.31898476491293826,0.010158043760964297,0.8169044390151328,2.2181265006126574,100.0,0.0,0.07947019867549669
97,174.91100780414695,175.41225148091712,0.5012436767701729,8.4,up,7.010100503595728,8.368975939622665,7.009598134654204,8.475376626777479,0.07537662677747825,0.405883362115053,0.6875454394489999,0.031024060377335516,0.2556588958530597,49.30116184722368,9.351667758709285,0.0,0.0
98,175.41225148091712,177.8681952715439,2.455943790626776,7.0,down,8.368843929568454,7.008581938711112,6.9306397208413175,8.368843929568454,0.06936027915868248,0.09684538953989463,0.31894954726378444,0.008581938711111903,0.3898318190828718,2.459391370077292,100.0,0.0,0.05084745762711865
99,177.8681952715439,180.4152611622676,2.547065890723701,8.4,up,7.00851050031373,8.383302221551071,7.00851050031373,8.496157929160963,0.09615792916096311,0.0541484380666327,0.17021172041944488,0.016697778448929057,0.18388802845609575,49.33972741447926,11.92991838880634,0.0,0.0
100,180.4152611622676,181.6476737862746,1.2324126240069972,7.0,down,8.383361705704154,7.011282049776295,6.923641877248973,8.38383624643943,0.07635812275102705,0.2031854327284582,0.45704654012696944,0.011282049776294656,0.8555721377323948,2.7075223803459907,100.0,0.0,0.10084033613445378
