segment,direction,start_d,end_d,duration_d,pH_sp,IAE_pH_d,ISE_pH2_d,ITAE_pH_d2,ITSE_pH2_d2,mean_abs_error_pH,max_abs_error_pH,final_abs_error_pH,settle_time_0p05_d,settle_time_0p10_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,q_NaOH_mean_m3_d,q_HCl_mean_m3_d,NaOH_volume_m3,HCl_volume_m3,NaOH_sat_fraction,HCl_sat_fraction
28,down,48.18678663399923,50.78100295774003,2.5942163237407954,7.0,0.20530634189581493,0.20149367425798392,0.04599510486098267,0.012043681717891233,0.07914002391279702,1.3691947380056906,0.007711424237419884,0.37571336600076677,0.17779669600076886,3.208363530790521,100.0,0.18902241847843793,6.57157167917655,0.4837785791440167,17.03911272148606,0.0,0.04819277108433735
29,up,50.78100295774003,53.32308304645891,2.5420800887188832,8.4,0.25905366805551405,0.2444218600472737,0.08948160628774829,0.017536617632407187,0.10190617880417283,1.392456851871196,0.017211776393072142,0.2814970422599714,0.22941371225996932,49.37402799175908,12.738534794529183,3.4685446219388756,0.6655506025001922,8.845569575790401,1.6926392787525806,0.0,0.0
30,down,53.32308304645891,55.94733484937287,2.6242518029139603,7.0,0.19619575349023344,0.1686090053127351,0.055186105935275995,0.010826141947708453,0.07476254880434047,1.3830982440441026,0.006938094834712416,0.8123336235410861,0.31233362354108607,3.174576855850158,100.0,0.1714938319338543,7.486171406020734,0.44193956583592753,19.566634543352638,0.0,0.04780876494023904
31,up,55.94733484937287,58.41568835645697,2.468353507084096,8.4,0.20089907121824238,0.1649065432022539,0.07809799972011493,0.009141147101050445,0.08138991057871915,1.3931923515982438,0.01743573059177983,0.22974848062712994,0.15683182062712575,49.4001074958115,11.862985951030714,3.566589733046449,0.6273286959013531,8.79857704472571,1.5421332642726369,0.0,0.0
32,down,58.41568835645697,61.14536050124404,2.7296721447870738,7.0,0.2562179945466981,0.24861647497227893,0.06611496321909409,0.018131728893651576,0.09386401771216528,1.3831221475367421,0.007153549138824822,0.8447283135430297,0.3447283135430297,2.73873225489406,100.0,0.16320121083293598,7.280286763122405,0.43896193758723967,19.862364656430714,0.0,0.04580152671755725
33,up,61.14536050124404,63.53897566701495,2.3936151657709104,8.4,0.27133281059231557,0.26617493889651483,0.08499974540769922,0.020330995807779573,0.11335690652048803,1.393079398800812,0.018197947102041923,0.2817228287559601,0.20880616875595592,49.39610239175772,11.628875190428406,3.6104733978782986,0.6630826658416458,8.6436446564238,1.5818842480005904,0.0,0.0
34,down,63.53897566701495,65.0610924085894,1.5221167415744503,7.0,0.24489988018680764,0.2481442739278326,0.044528825204487824,0.018294820493742172,0.16089428195467292,1.3823848349571328,0.009502812447440334,0.6589410029850455,0.34644100298504554,2.668102422704476,100.0,0.2871311244307099,11.845686204674701,0.43023071749215885,18.007686072598823,0.0,0.0821917808219178
35,up,65.0610924085894,67.7812635710963,2.720171162506901,8.4,0.22018554253100395,0.1866434730770497,0.09110186469002729,0.011487761776189629,0.08094547341943059,1.390485317551029,0.015950851472052108,0.23057426141059523,0.16807426141059523,49.29875047942083,9.995085102210668,3.3352381441967576,0.4913316540864195,9.096002210813927,1.3332976089335689,0.0,0.0
36,down,67.7812635710963,69.63328761086689,1.8520240397705834,7.0,0.256311841619726,0.25028603889109396,0.0583025945288665,0.020825615189728763,0.13839552625433318,1.3845585863999172,0.00991780267608977,0.8749864289036964,0.3541530989036943,1.7940854000348123,100.0,0.1773329526434088,10.510592148869751,0.32053906549747563,19.37040499736418,0.0,0.06779661016949153
37,up,69.63328761086689,70.2789785920852,0.6456909812183085,8.4,0.24267980748165205,0.2869306453988975,0.025475065100818463,0.022516026478699512,0.37584512489822414,1.3904679817987633,0.032134264067755325,0.2833790591331109,0.2208790591331109,49.30350621832222,9.291456345185493,9.980240197894013,2.0878702443876866,6.439224836673273,1.3399169115068867,0.0,0.0
38,down,70.2789785920852,72.57580043289028,2.2968218408050802,7.0,0.2445840310674839,0.25996359147922093,0.047143054189262255,0.0196388486879465,0.10648802912016567,1.3682004511246788,0.008390888279476094,0.3981047379148066,0.2106047379148066,2.385788034023067,100.0,0.17917192749755725,7.21049112571997,0.40612175029339637,16.592500564117593,0.0,0.05429864253393665
39,up,72.57580043289028,74.21269206480763,1.6368916319173508,8.4,0.16972869419315262,0.14424111688434232,0.043746056902177116,0.007847984862908875,0.10368963398899121,1.3917590574891756,0.02318170632436356,0.22628289710972638,0.1533662371097222,49.34928545176291,11.67016018040894,4.7550669568841535,0.9245210452169823,7.770009783560484,1.5053262402251197,0.0,0.0
40,down,74.21269206480763,76.74978567778085,2.537093612973223,7.0,0.17124838050386496,0.1462031813134434,0.04386645976579734,0.007810177814195159,0.06749785645598579,1.377156692676916,0.007177569879400103,0.5789746051923714,0.2977246051923714,3.010285951872169,100.0,0.16407764723176924,7.201098890897276,0.4088155757116087,18.221428385997797,0.0,0.04938271604938271
41,up,76.74978567778085,77.79058955002198,1.0408038722411277,8.4,0.09742946136911328,0.06274492671273028,0.018312942894084337,0.001962006356285962,0.09360981830257964,1.3928965506181257,0.028122752563708886,0.17729765221915272,0.10438099221914854,49.389618922429335,12.133617983993744,6.804494716859508,1.4560341580792493,6.82421737637265,1.5167022479992178,0.0,0.0
42,down,77.79058955002198,80.77020506413098,2.9796155141089997,7.0,0.23881119191558803,0.24219833727397944,0.05817120498763944,0.017004956112365435,0.08014832477035219,1.3727847676001055,0.006985085333517382,0.605243779978025,0.34482711997802085,3.519296215636468,100.0,0.1882833389648262,5.940074317994157,0.5543671661165246,17.690928367772365,0.0,0.04195804195804196
43,up,80.77020506413098,81.34282716792399,0.5726221037930088,8.4,0.22431942617423947,0.2630334885175035,0.02129726988093469,0.01854179361848944,0.39174077404341057,1.3931693319574192,0.03151947105886066,0.2922949358690232,0.24021160586902113,49.39929126054438,13.239171177180522,11.12795459845771,3.082049039031583,6.369653410050706,1.7602142204790698,0.0,0.0
44,down,81.34282716792399,83.98606973807371,2.6432425701497237,7.0,0.15576562869927857,0.14157233928110396,0.03516943493393937,0.006388034735048263,0.05892975183524506,1.3683161739255372,0.00660018206563695,0.3238395020760123,0.1675895020760123,4.502525227264866,100.0,0.27105012609136125,6.1410147557986585,0.7114162133010382,16.243170798246176,0.0,0.047244094488188976
45,up,83.98606973807371,84.71423961161781,0.728169873544104,8.4,0.10113370762048662,0.08025008586533403,0.01133943824410445,0.0026276621872636883,0.13888751965012616,1.3934376579002974,0.031291939536487234,0.20143026192629065,0.15976359192629275,49.40880561827603,14.166525603904526,9.156838069058988,2.4420715834020306,6.670344180378905,1.7757464499371949,0.0,0.0
46,down,84.71423961161781,85.87103686590737,1.1567972542895575,7.0,0.14726058018134086,0.1418579959653865,0.01619479502235172,0.006821978295404051,0.127300250441708,1.3690376888641946,0.0054246413464769105,0.33784371838218874,0.29617705838218455,4.90545000825717,100.0,0.6945893456322739,13.13992298566942,0.7966020192440466,15.185129184058876,0.0,0.10810810810810811
47,up,85.87103686590737,86.92814096687025,1.0571041009628743,8.4,0.09725856497468267,0.06116525289239308,0.01933155756135143,0.002149299469628651,0.09200471825442139,1.3951124912517434,0.027991205932471175,0.19146313409262916,0.13937980409262707,49.46819221159466,13.64694737935344,6.700721828666469,1.6055232211004047,6.85530318446234,1.7058684224191802,0.0,0.0
48,down,86.92814096687025,87.73329946098345,0.8051584941132006,7.0,0.19049149453615843,0.20233592438172668,0.02107646791111326,0.01363941359805078,0.23658881565419645,1.372715155790452,0.019277434242865432,0.5822757031297527,0.33227570312975274,4.334335539222341,100.0,0.8759787207769033,18.76921565075941,0.6952500880996301,15.054475053213277,0.0,0.15584415584415584
49,up,87.73329946098345,90.63787746678156,2.9045780057981148,8.4,0.14899302781577708,0.08126876011285321,0.09215402191558279,0.004600093580076294,0.05129592922564221,1.3789113131541333,0.014787667050100595,0.1937838690165563,0.12086720901655212,48.837333068388304,12.25284920889345,3.209174100864647,0.5270042670491806,9.319455607389788,1.5316061511116812,0.0,0.0
50,down,90.63787746678156,91.20620320851144,0.568325741729879,7.0,0.24777931614466234,0.2886896909786283,0.02803334507265346,0.024877598703078443,0.435981160013037,1.3857855236554943,0.054986182670909045,,0.37253920321843736,2.7587264368427897,100.0,0.8411614774897157,25.49860400791536,0.4667377068168334,14.335409051904305,0.0,0.2222222222222222
51,up,91.20620320851144,93.15775625488423,1.9515530463727941,8.4,0.1690214551549223,0.12954840602244075,0.05476122709821296,0.006629509139830097,0.08660869120061576,1.3395096971565223,0.02072674011602338,0.21046346148855832,0.14796346148855832,46.75903625573139,10.42874600076863,4.00342343719042,0.6965305166852231,7.833580928861499,1.3564832211248272,0.0,0.0
52,down,93.15775625488423,94.55278446615652,1.3950282112722903,7.0,0.25605921959225025,0.24862224445189807,0.05524552949423241,0.02054660454626763,0.1835512841412144,1.3799329851367172,0.01442776820188385,0.9151604151157642,0.3526604151157642,1.594391392691492,100.0,0.2167917330103259,13.796939920486011,0.2961484834260151,19.2462494776144,0.0,0.08955223880597014
53,up,94.55278446615652,95.55815519811291,1.0053707319563898,8.4,0.18363778480724247,0.18793941041005005,0.02584341469165679,0.011894971548038508,0.18265678417939876,1.3877897573517401,0.028967817889657965,0.2180488638434781,0.17638220384347392,49.20854117244821,7.447154081211345,6.942127272572438,1.0746441509193778,6.935579247032907,1.062664989522053,0.0,0.0
54,down,95.55815519811291,96.73879138708686,1.1806361889739492,7.0,0.2003816934262613,0.2040245791404398,0.02724833996335827,0.012977245440471708,0.1697234891642668,1.3717535271844667,0.011929686120127236,0.3897614718870841,0.18142813188708828,1.3300441040400723,100.0,0.20799869253238656,13.560355716912238,0.23828376879546487,15.951993419676358,0.0,0.10619469026548672
55,up,96.73879138708686,99.4135193386922,2.674727951605334,8.4,0.14842480838990793,0.08751854147969516,0.08117194157396868,0.004276591701998305,0.05549155318798888,1.388380782973738,0.015918763590176965,0.16745861291313702,0.11537528291313492,49.229497883290016,8.456145955612646,3.3968618317518815,0.4020677381128682,9.087270858310447,1.0666935456083793,0.0,0.0
56,down,99.4135193386922,102.22413036883144,2.810611030139242,7.0,0.2688679090306189,0.2511083336809471,0.07972839267297234,0.019425489041018554,0.09566172840974682,1.3845895827732377,0.008198676426303564,0.8781473613077964,0.346897331307801,1.230977118774227,100.0,0.08652491440924141,7.557089124090547,0.23693997646082732,21.246382061431913,0.0,0.044444444444444446
57,up,102.22413036883144,102.79620275529123,0.5720723864597943,8.4,0.11272162374906085,0.10510027333169682,0.009260341075287674,0.003991993105613591,0.1970408403150272,1.3919047094264254,0.032075857914138695,0.1925363311685544,0.1300363311685544,49.35445000879544,10.040143574718522,11.303340771469479,2.245949469624342,6.469527873776579,1.2788108233017303,0.0,0.0
58,down,102.79620275529123,105.20152991820213,2.4053271629108934,7.0,0.21666168363276497,0.22073124704348496,0.04556181194143909,0.015321220573678586,0.0900757647332116,1.3681803516674318,0.00841015573477133,0.3808805447087735,0.19338054470877353,2.749350830069885,100.0,0.1850712876580816,6.901685354250616,0.4389833021113,16.60090990025558,0.0,0.05194805194805195
59,up,105.20152991820213,106.73221826329308,1.530688345090951,8.4,0.16696048478958314,0.14354232239284664,0.03974444698310105,0.007597090183649948,0.1090754269639798,1.3917429529338703,0.024054494565907802,0.2255533817978801,0.15263678179786666,49.348714413052896,12.181475677644208,4.992664368763369,1.0271665688574103,7.63849724918583,1.566578285021472,0.0,0.0
60,down,106.73221826329308,107.2809162715536,0.5486980082605157,7.0,0.11862959611205949,0.10579403388404951,0.011194975376626315,0.004653898222121075,0.21620198055418396,1.3761227364478046,0.056151096498831876,,0.2781984367069157,3.330084666745209,100.0,0.7925553959921365,26.743679000671325,0.42278073228385155,14.44222919608105,0.0,0.23076923076923078
61,up,107.2809162715536,107.96063984474142,0.6797235731878288,8.4,0.21298648173595927,0.23983231633600502,0.02143504020760505,0.016071804059244212,0.3133427913012875,1.3928769368168599,0.03191335358345704,0.2711670284464134,0.19825042844639995,49.3889234521378,10.825839942714774,9.49387752737776,3.118505002983836,6.520715842327605,2.100041926935467,0.0,0.0
62,down,107.96063984474142,110.38298580118744,2.422345956446023,7.0,0.1602103445064492,0.14270567353968783,0.038570585050591175,0.007615034726503356,0.0661385067975608,1.3681969199625978,0.008122980291314974,0.34144345525858455,0.15394345525858455,2.8943051971117018,100.0,0.17108602479250956,6.912948685561029,0.4071329355039592,16.700194778835332,0.0,0.05172413793103448
63,up,110.38298580118744,111.62803577253128,1.2450499713438319,8.4,0.2592769188979985,0.2843612827592467,0.04229406169643325,0.022566710338172966,0.20824619482393192,1.392029514780349,0.027227316663067214,0.30451419881255504,0.2524308988125483,49.35887538329078,12.409664966329103,5.761113997879619,1.3482894917603505,7.194844552737295,1.6792639087102117,0.0,0.0
64,down,111.62803577253128,113.3227731163029,1.6947373437716209,7.0,0.27282266777809755,0.30162877912254593,0.04488662414771081,0.027380639282959685,0.16098227184333677,1.3739354380218316,0.008785912552954578,0.6532142274687232,0.38238092746871644,3.5910935624309026,100.0,0.3603156124258616,9.687697693461697,0.6014845675424734,16.34125191708889,0.0,0.07407407407407407
65,up,113.3227731163029,115.89127168060428,2.568498564301379,8.4,0.20235922804816292,0.1642502731415503,0.08248733901392874,0.009100899612842994,0.07878502673144526,1.3918358563692381,0.016821596138239414,0.22931018369710898,0.15639358369709555,49.35200860260873,12.090416110835324,3.4696290853250957,0.6135766681443489,8.920632479671804,1.5719436088727754,0.0,0.0
66,down,115.89127168060428,116.39152913393944,0.5002574533351662,7.0,0.24490234161177948,0.28750215972338267,0.025884376574017258,0.023735838783904405,0.48955260931954164,1.3838316813393359,0.01868823168237288,0.43164501939571664,0.36914501939571664,2.786683635476032,100.0,0.9540342240585825,28.505357295293738,0.470583049738613,14.245240778253637,0.0,0.25
67,up,116.39152913393944,117.07361516983488,0.6820860358954377,8.4,0.2191597180205834,0.24418081470873174,0.023355042902098153,0.01795735619936779,0.3213080263883017,1.3749621070689875,0.031683501799760094,0.2751375660605504,0.2126375660605504,46.81638954939495,10.373958644696486,9.001094009793196,2.102550758597948,6.181988270429422,1.4380657295400436,0.0,0.0
68,down,117.07361516983488,118.60858664461932,1.5349714747844416,7.0,0.17784081243489663,0.1633898533848952,0.03142448083372025,0.009889619824543687,0.11585935983590255,1.3684179382600767,0.010278393845180034,0.5930515301651127,0.3118015301651127,2.197183700312275,100.0,0.21208772834959796,11.138867108808636,0.31849543264283053,17.048428314901628,0.0,0.08163265306122448
69,up,118.60858664461932,120.41175308919476,1.8031664445754387,8.4,0.13156645306076842,0.08590416950913406,0.04601068321916587,0.003986975818345726,0.07296412012133809,1.3897445115488685,0.0215769735227358,0.18308005538067107,0.12058005538067107,49.27785325800139,9.703219659898528,4.44864197556682,0.6818921625607214,8.010349285967367,1.2208645048627729,0.0,0.0
70,down,120.41175308919476,122.65911533704735,2.2473622478525925,7.0,0.24830847000085418,0.24688167330203625,0.055063951156505794,0.018706938354703162,0.11048884986749188,1.3791168210963765,0.00866901001409115,0.650746910805239,0.34866361080523234,1.9611027868901056,100.0,0.15498958513060096,8.287665043495158,0.34225220950422197,18.63981510228063,0.0,0.05555555555555555
71,up,122.65911533704735,125.2951879301992,2.6360725931518516,8.4,0.24711945994237516,0.2264862131321879,0.09259537902518347,0.017093515325742215,0.09374531664429765,1.3915602420107067,0.016606890654914608,0.26796796295265324,0.1950513629526398,49.34223581070155,10.638846315332003,3.4020997788385703,0.5497256344915983,8.95952288790386,1.4413247585293596,0.0,0.0
72,down,125.2951879301992,128.08194332371724,2.7867553935180354,7.0,0.2468290484088133,0.2296928242372187,0.0704526290787142,0.017258579926884902,0.08857219725238001,1.383866621729803,0.007516947464660362,0.8506453698008016,0.3402287698007882,2.110270549519602,100.0,0.12719844505442415,7.352310313089366,0.3473430632604897,20.44141302504662,0.0,0.0449438202247191
73,up,128.08194332371724,130.60259116627105,2.5206478425538137,8.4,0.18784633991575406,0.1456107642660251,0.07881241978520967,0.00775367062187649,0.07452303996794574,1.3926383315428188,0.017038075536113695,0.22013997628275206,0.14722337628276705,49.380462936134265,11.006418996505314,3.5227627404564235,0.5686227544052237,8.87386143977727,1.426203114082667,0.0,0.0
